id,name,code,state_id:id
9,An Phú,9,l10n_vn.state_vn_VN-44
104,Châu Đốc,104,l10n_vn.state_vn_VN-44
106,Châu Phú,106,l10n_vn.state_vn_VN-44
107,Châu Thành,107,l10n_vn.state_vn_VN-44
124,Chợ Mới,124,l10n_vn.state_vn_VN-44
349,Long Xuyên,349,l10n_vn.state_vn_VN-44
457,Phú Tân,457,l10n_vn.state_vn_VN-44
538,Tân Châu,538,l10n_vn.state_vn_VN-44
590,Thoại Sơn,590,l10n_vn.state_vn_VN-44
613,Tịnh Biên,613,l10n_vn.state_vn_VN-44
625,Tri Tôn,625,l10n_vn.state_vn_VN-44
17,Bà Rịa,17,l10n_vn.state_vn_VN-43
105,Châu Đức,105,l10n_vn.state_vn_VN-43
136,Côn Đảo,136,l10n_vn.state_vn_VN-43
163,Đất Đỏ,163,l10n_vn.state_vn_VN-43
342,Long Điền,342,l10n_vn.state_vn_VN-43
449,Phú Mỹ,449,l10n_vn.state_vn_VN-43
684,Vũng Tàu,684,l10n_vn.state_vn_VN-43
688,Xuyên Mộc,688,l10n_vn.state_vn_VN-43
27,Bạc Liêu,27,l10n_vn.state_vn_VN-55
184,Đông Hải,184,l10n_vn.state_vn_VN-55
215,Giá Rai,215,l10n_vn.state_vn_VN-55
253,Hòa Bình,253,l10n_vn.state_vn_VN-55
271,Hồng Dân,271,l10n_vn.state_vn_VN-55
468,Phước Long,468,l10n_vn.state_vn_VN-55
671,Vĩnh Lợi,671,l10n_vn.state_vn_VN-55
24,Bắc Giang,24,l10n_vn.state_vn_VN-54
250,Hiệp Hòa,250,l10n_vn.state_vn_VN-54
330,Lạng Giang,330,l10n_vn.state_vn_VN-54
350,Lục Nam,350,l10n_vn.state_vn_VN-54
351,Lục Ngạn,351,l10n_vn.state_vn_VN-54
512,Sơn Động,512,l10n_vn.state_vn_VN-54
554,Tân Yên,554,l10n_vn.state_vn_VN-54
664,Việt Yên,664,l10n_vn.state_vn_VN-54
694,Yên Dũng,694,l10n_vn.state_vn_VN-54
704,Yên Thế,704,l10n_vn.state_vn_VN-54
13,Ba Bể,13,l10n_vn.state_vn_VN-53
26,Bắc Kạn,26,l10n_vn.state_vn_VN-53
37,Bạch Thông,37,l10n_vn.state_vn_VN-53
121,Chợ Đồn,121,l10n_vn.state_vn_VN-53
125,Chợ Mới,125,l10n_vn.state_vn_VN-53
388,Na Rì,388,l10n_vn.state_vn_VN-53
403,Ngân Sơn,403,l10n_vn.state_vn_VN-53
434,Pác Nặm,434,l10n_vn.state_vn_VN-53
29,Bắc Ninh,29,l10n_vn.state_vn_VN-56
211,Gia Bình,211,l10n_vn.state_vn_VN-56
354,Lương Tài,354,l10n_vn.state_vn_VN-56
495,Quế Võ,495,l10n_vn.state_vn_VN-56
602,Thuận Thành,602,l10n_vn.state_vn_VN-56
606,Tiên Du,606,l10n_vn.state_vn_VN-56
634,Từ Sơn,634,l10n_vn.state_vn_VN-56
701,Yên Phong,701,l10n_vn.state_vn_VN-56
20,Ba Tri,20,l10n_vn.state_vn_VN-50
49,Bến Tre,49,l10n_vn.state_vn_VN-50
53,Bình Đại,53,l10n_vn.state_vn_VN-50
108,Châu Thành,108,l10n_vn.state_vn_VN-50
123,Chợ Lách,123,l10n_vn.state_vn_VN-50
221,Giồng Trôm,221,l10n_vn.state_vn_VN-50
366,Mỏ Cày Bắc,366,l10n_vn.state_vn_VN-50
367,Mỏ Cày Nam,367,l10n_vn.state_vn_VN-50
581,Thạnh Phú,581,l10n_vn.state_vn_VN-50
32,Bắc Tân Uyên,32,l10n_vn.state_vn_VN-57
45,Bàu Bàng,45,l10n_vn.state_vn_VN-57
46,Bến Cát,46,l10n_vn.state_vn_VN-57
164,Dầu Tiếng,164,l10n_vn.state_vn_VN-57
165,Dĩ An,165,l10n_vn.state_vn_VN-57
444,Phú Giáo,444,l10n_vn.state_vn_VN-57
552,Tân Uyên,552,l10n_vn.state_vn_VN-57
595,Thủ Dầu Một,595,l10n_vn.state_vn_VN-57
598,Thuận An,598,l10n_vn.state_vn_VN-57
6,An Lão,6,l10n_vn.state_vn_VN-31
8,An Nhơn,8,l10n_vn.state_vn_VN-31
257,Hoài Ân,257,l10n_vn.state_vn_VN-31
259,Hoài Nhơn,259,l10n_vn.state_vn_VN-31
442,Phù Cát,442,l10n_vn.state_vn_VN-31
450,Phù Mỹ,450,l10n_vn.state_vn_VN-31
499,Quy Nhơn,499,l10n_vn.state_vn_VN-31
560,Tây Sơn,560,l10n_vn.state_vn_VN-31
642,Tuy Phước,642,l10n_vn.state_vn_VN-31
650,Vân Canh,650,l10n_vn.state_vn_VN-31
674,Vĩnh Thạnh,674,l10n_vn.state_vn_VN-31
57,Bình Long,57,l10n_vn.state_vn_VN-58
67,Bù Đăng,67,l10n_vn.state_vn_VN-58
68,Bù Đốp,68,l10n_vn.state_vn_VN-58
69,Bù Gia Mập,69,l10n_vn.state_vn_VN-58
126,Chơn Thành,126,l10n_vn.state_vn_VN-58
189,Đồng Phú,189,l10n_vn.state_vn_VN-58
193,Đồng Xoài,193,l10n_vn.state_vn_VN-58
269,Hớn Quản,269,l10n_vn.state_vn_VN-58
340,Lộc Ninh,340,l10n_vn.state_vn_VN-58
456,Phú Riềng,456,l10n_vn.state_vn_VN-58
467,Phước Long,467,l10n_vn.state_vn_VN-58
23,Bắc Bình,23,l10n_vn.state_vn_VN-40
198,Đức Linh,198,l10n_vn.state_vn_VN-40
244,Hàm Tân,244,l10n_vn.state_vn_VN-40
245,Hàm Thuận Bắc,245,l10n_vn.state_vn_VN-40
246,Hàm Thuận Nam,246,l10n_vn.state_vn_VN-40
319,La Gi,319,l10n_vn.state_vn_VN-40
436,Phan Thiết,436,l10n_vn.state_vn_VN-40
455,Phú Quý,455,l10n_vn.state_vn_VN-40
555,Tánh Linh,555,l10n_vn.state_vn_VN-40
641,Tuy Phong,641,l10n_vn.state_vn_VN-40
73,Cà Mau,73,l10n_vn.state_vn_VN-59
77,Cái Nước,77,l10n_vn.state_vn_VN-59
159,Đầm Dơi,159,l10n_vn.state_vn_VN-59
389,Năm Căn,389,l10n_vn.state_vn_VN-59
412,Ngọc Hiển,412,l10n_vn.state_vn_VN-59
458,Phú Tân,458,l10n_vn.state_vn_VN-59
591,Thới Bình,591,l10n_vn.state_vn_VN-59
620,Trần Văn Thời,620,l10n_vn.state_vn_VN-59
646,U Minh,646,l10n_vn.state_vn_VN-59
38,Bảo Lạc,38,l10n_vn.state_vn_VN-04
39,Bảo Lâm,39,l10n_vn.state_vn_VN-04
94,Cao Bằng,94,l10n_vn.state_vn_VN-04
231,Hạ Lang,231,l10n_vn.state_vn_VN-04
233,Hà Quảng,233,l10n_vn.state_vn_VN-04
251,Hòa An,251,l10n_vn.state_vn_VN-04
416,Nguyên Bình,416,l10n_vn.state_vn_VN-04
486,Quảng Hòa,486,l10n_vn.state_vn_VN-04
561,Thạch An,561,l10n_vn.state_vn_VN-04
629,Trùng Khánh,629,l10n_vn.state_vn_VN-04
64,Bình Thủy,64,l10n_vn.state_vn_VN-CT
78,Cái Răng,78,l10n_vn.state_vn_VN-CT
132,Cờ Đỏ,132,l10n_vn.state_vn_VN-CT
427,Ninh Kiều,427,l10n_vn.state_vn_VN-CT
433,Ô Môn,433,l10n_vn.state_vn_VN-CT
438,Phong Điền,438,l10n_vn.state_vn_VN-CT
592,Thới Lai,592,l10n_vn.state_vn_VN-CT
594,Thốt Nốt,594,l10n_vn.state_vn_VN-CT
